轮次	训练损失	训练准确率	验证损失	验证准确率
1	2.160894	17.5000	2.097511	25.0000
2	2.038300	24.1964	2.090603	18.7500
3	2.019305	25.3571	2.062229	25.6250
4	1.989204	25.1786	2.057153	25.6250
5	1.982274	24.2857	2.057257	18.1250
6	1.975466	25.3571	2.022182	26.8750
7	1.962414	25.8036	2.054955	22.5000
8	1.946567	26.5179	2.047164	21.8750
9	1.930408	26.6964	2.032737	26.8750
10	1.899094	27.1429	2.033609	23.1250
11	1.883837	26.2500	2.040672	26.2500
12	1.891085	27.6786	3.443853	19.3750
13	1.873995	29.3750	2.256593	27.5000
14	1.864631	28.3036	2.212320	12.5000
15	1.835454	30.0893	2.103685	20.6250
16	1.846977	28.1250	2.152458	26.8750
17	1.848672	28.3929	2.175170	26.2500
18	1.847863	28.7500	2.118443	27.5000
19	1.807542	30.2679	2.136696	23.7500
20	1.814701	29.4643	2.153136	28.7500
21	1.797467	30.7143	2.111268	30.0000
22	1.811646	31.4286	2.195179	26.8750
23	1.799415	31.4286	2.157607	30.6250
24	1.789868	30.9821	2.169803	23.1250
25	1.771803	34.0179	2.103876	28.1250
26	1.789348	29.8214	2.015125	29.3750
27	1.779261	33.8393	2.007834	33.1250
28	1.761788	34.1964	2.129231	28.7500
29	1.798624	32.2321	2.024918	27.5000
30	1.767835	31.8750	1.986565	31.2500
31	1.757418	32.5000	1.959680	25.0000
32	1.745861	33.0357	1.997333	32.5000
33	1.767365	32.3214	1.944215	24.3750
34	1.768624	31.2500	1.944959	30.0000
35	1.743827	31.0714	2.040367	31.8750
36	1.757430	31.6071	1.940110	27.5000
37	1.720717	32.5000	2.016328	31.8750
38	1.745718	32.5893	1.974830	28.7500
39	1.754164	31.6071	2.211327	21.2500
40	1.741714	31.7857	1.992635	26.2500
41	1.706691	32.2321	1.932968	23.7500
42	1.682909	33.4821	1.920472	23.1250
43	1.700126	32.1429	1.914607	25.0000
44	1.688008	33.6607	1.910759	26.2500
45	1.681763	34.5536	1.919038	25.6250
46	1.682255	33.9286	1.918990	27.5000
47	1.690467	32.8571	1.914119	26.8750
48	1.658224	35.7143	1.912799	26.8750
49	1.693713	34.9107	1.914847	25.6250
50	1.676489	35.0893	1.915133	26.8750
51	1.666510	35.1786	1.913440	30.0000
52	1.663185	34.0179	1.910117	30.0000
53	1.671223	32.5893	1.917308	27.5000
54	1.668999	34.5536	1.913899	28.1250
55	1.681719	34.6429	1.910462	26.8750
56	1.684084	34.7321	1.905907	29.3750
57	1.668832	35.2679	1.914891	25.6250
58	1.650761	35.7143	1.918175	24.3750
59	1.661442	35.8929	1.914468	26.2500
60	1.669424	34.3750	1.920642	26.8750
61	1.651565	35.0000	1.931699	25.0000
62	1.657956	35.6250	1.912528	26.2500
63	1.651185	34.2857	1.915016	29.3750
64	1.655164	34.2857	1.914425	24.3750
65	1.657086	34.1071	1.926644	27.5000
66	1.675870	33.4821	1.929747	26.8750
67	1.660156	35.8929	1.918488	27.5000
68	1.640907	34.6429	1.922454	28.1250
69	1.666681	34.1071	1.925187	26.2500
70	1.645081	35.8036	1.934237	26.2500
71	1.666029	34.7321	1.935628	27.5000
72	1.657827	33.8393	1.921708	29.3750
73	1.640670	34.4643	1.933650	30.0000
74	1.657380	34.6429	1.926773	28.1250
75	1.644367	35.9821	1.932648	30.6250
76	1.654293	34.4643	1.902570	31.8750
77	1.651910	35.7143	1.936019	29.3750
78	1.644061	34.9107	1.904034	27.5000
79	1.635064	35.5357	1.919232	29.3750
80	1.664226	34.8214	1.906759	30.6250
81	1.635344	35.2679	1.913951	30.0000
82	1.631373	37.5000	1.916625	31.2500
83	1.655777	35.3571	1.916779	30.6250
84	1.643744	34.6429	1.921322	30.6250
85	1.633827	35.4464	1.923945	29.3750
86	1.654070	36.2500	1.919237	29.3750
87	1.642808	35.7143	1.920332	30.0000
88	1.631912	34.8214	1.921321	30.0000
89	1.636480	35.8929	1.921786	30.0000
90	1.641023	35.3571	1.918000	30.0000
91	1.641896	36.1607	1.917169	30.6250
92	1.658185	35.0893	1.915988	30.0000
93	1.653470	34.2857	1.916559	30.0000
94	1.634530	36.6071	1.916337	30.0000
95	1.628540	34.9107	1.917581	31.8750
96	1.636501	35.1786	1.919368	31.8750
97	1.635801	34.4643	1.916596	31.2500
98	1.642700	35.9821	1.919932	30.6250
99	1.687118	34.1071	1.921289	30.0000
100	1.641347	36.4286	1.924059	29.3750
