轮次	训练损失	训练准确率	验证损失	验证准确率
1	2.206973	19.3750	2.056503	28.1250
2	2.020232	20.8036	2.052226	26.2500
3	1.935531	28.0357	2.018270	28.1250
4	1.865421	32.2321	2.018774	28.7500
5	1.860525	30.4464	26.690833	15.6250
6	1.846691	30.0893	2.854322	24.3750
7	1.839212	30.2679	3.851941	23.7500
8	1.817837	30.5357	2.966623	26.8750
9	1.800458	32.8571	2.170627	28.7500
10	1.803348	32.7679	2.509457	26.8750
11	1.790307	32.9464	2.216066	30.6250
12	1.795441	31.7857	2.051282	31.8750
13	1.795288	33.0357	1.989840	33.7500
14	1.804092	31.3393	1.933788	35.6250
15	1.767015	33.7500	2.716057	28.1250
16	1.771888	31.6964	2.004989	30.0000
17	1.771518	33.3036	2.156715	27.5000
18	1.769475	32.8571	1.921681	33.7500
19	1.768738	32.2321	2.578966	26.8750
20	1.767887	31.6071	2.031653	30.0000
21	1.758764	34.7321	2.158148	29.3750
22	1.752001	32.6786	2.086758	26.2500
23	1.753447	33.4821	2.167412	30.0000
24	1.753641	32.5893	1.965048	30.6250
25	1.747419	32.3214	2.014893	30.0000
26	1.741422	33.2143	2.033434	30.0000
27	1.736079	34.4643	1.943052	27.5000
28	1.746419	33.8393	1.895955	33.7500
29	1.744729	34.0179	2.600692	28.7500
30	1.771028	32.8571	2.155773	30.6250
31	1.747957	32.3214	1.984647	30.6250
32	1.736993	33.7500	2.181535	30.6250
33	1.734723	33.3036	2.048145	30.0000
34	1.736010	34.8214	2.167892	31.2500
35	1.727327	31.7857	2.169951	31.2500
36	1.718041	32.7679	2.139938	31.8750
37	1.713926	35.0893	1.881530	30.6250
38	1.743538	33.3929	2.113353	26.8750
39	1.719326	34.9107	2.471888	21.8750
40	1.724220	35.7143	1.974261	33.7500
41	1.702084	37.4107	2.029992	31.2500
42	1.700238	34.9107	1.992599	31.2500
43	1.691120	35.9821	2.021526	31.8750
44	1.693341	36.6071	2.014281	30.6250
45	1.679496	36.4286	1.961118	33.1250
46	1.681951	35.8929	1.992536	31.8750
47	1.688909	35.1786	2.008438	32.5000
48	1.699149	36.6071	2.004415	30.0000
49	1.697663	36.2500	1.950602	33.1250
50	1.682960	37.3214	1.988999	30.6250
51	1.672569	37.5893	1.973347	31.8750
52	1.679942	36.8750	2.007457	29.3750
53	1.668094	37.7679	1.986375	33.7500
54	1.673345	37.7679	2.059762	28.7500
55	1.672803	36.8750	2.033824	30.6250
56	1.670493	37.3214	1.936780	31.2500
57	1.665251	38.2143	1.933800	34.3750
58	1.663652	38.0357	1.983912	33.1250
59	1.670669	36.8750	2.024313	30.0000
60	1.681042	37.1429	2.028933	31.8750
61	1.670929	35.7143	2.086206	30.6250
62	1.675637	35.7143	2.016406	30.6250
63	1.681746	36.8750	1.999240	31.8750
64	1.673578	36.8750	1.962353	31.2500
65	1.687385	36.0714	2.035563	32.5000
66	1.668861	36.6964	2.009542	32.5000
67	1.675177	36.4286	2.052106	30.6250
68	1.655381	38.5714	1.994818	32.5000
69	1.664738	36.3393	1.988069	32.5000
70	1.671619	37.3214	2.024609	33.1250
71	1.666427	36.3393	1.966479	32.5000
72	1.639050	38.8393	2.008572	33.7500
73	1.674901	36.7857	2.049130	33.1250
74	1.653369	37.7679	1.993513	31.8750
75	1.673308	36.6071	2.041740	31.2500
76	1.643447	38.6607	2.051110	34.3750
77	1.653037	37.1429	1.962806	33.1250
78	1.660394	37.0536	2.049214	29.3750
79	1.649543	37.8571	2.012675	30.0000
80	1.647993	38.2143	2.113327	31.8750
81	1.650487	37.4107	2.073122	31.2500
82	1.655154	38.2143	2.022710	31.8750
83	1.646723	37.0536	2.032790	30.6250
84	1.656424	36.5179	2.012226	32.5000
85	1.639810	37.7679	2.040612	31.2500
86	1.657941	37.5893	2.025128	31.2500
87	1.651594	36.0714	2.008460	31.2500
88	1.678960	35.8036	2.023894	30.6250
89	1.650420	37.3214	2.031560	31.2500
90	1.653373	37.0536	2.027445	30.6250
91	1.646891	38.2143	2.052407	30.6250
92	1.658359	36.4286	2.032383	31.2500
93	1.648089	37.4107	2.041657	30.6250
94	1.672442	35.4464	2.008398	30.6250
95	1.642252	38.0357	2.022591	29.3750
96	1.651581	37.8571	2.011641	30.6250
97	1.660448	37.0536	2.031665	31.2500
98	1.630843	38.0357	1.984146	32.5000
99	1.648361	36.7857	2.012828	31.8750
100	1.661536	36.2500	2.019089	31.8750
